system:time_start,APH,ASH1,BAH,NPD,NAH2,NSH,ASH2,BPD,BSD,NSD,NPH,NAH1,NAD
"Aug 1, 1985",0.636,0.295,0.302,0.384,0.462,0.629,0.624,0.29,0.168,0.548,0.439,0.583,0.4
"Aug 1, 1986",0.589,0.4,0.29,0.437,0.402,0.517,0.593,0.437,0.2,0.433,0.456,0.596,0.402
"Aug 1, 1987",0.599,0.399,0.301,0.465,0.476,0.545,0.633,0.428,0.205,0.434,0.464,0.573,0.39
"Aug 1, 1988",0.572,0.403,0.253,0.449,0.455,0.516,0.652,0.445,0.191,0.471,0.469,0.497,0.376
"Aug 1, 1989",0.497,0.469,0.327,0.415,0.515,0.554,0.623,0.487,0.237,0.463,0.464,0.572,0.408
"Aug 1, 1990",0.597,0.455,0.357,0.465,0.539,0.617,0.641,0.552,0.309,0.507,0.505,0.591,0.431
"Aug 1, 1991",0.449,0.404,0.308,0.435,0.418,0.548,0.58,0.481,0.258,0.508,0.409,0.542,0.38
"Aug 1, 1992",0.278,0.401,0.287,0.445,0.472,0.542,0.549,0.485,0.28,0.522,0.418,0.489,0.35
"Aug 1, 1993",0.209,0.397,0.293,0.427,0.457,0.551,0.602,0.507,0.302,0.494,0.426,0.554,0.379
"Aug 1, 1994",0.315,0.435,0.28,0.414,0.48,0.555,0.627,0.534,0.298,0.526,0.425,0.581,0.381
"Aug 1, 1995",0.368,0.372,0.339,0.405,0.471,0.607,0.629,0.541,0.326,0.532,0.441,0.561,0.381
"Aug 1, 1996",0.515,0.442,0.383,0.443,0.588,0.636,0.639,0.526,0.334,0.584,0.459,0.674,0.516
"Aug 1, 1997",0.572,0.477,0.321,0.396,0.564,0.652,0.669,0.463,0.335,0.597,0.498,0.636,0.463
"Aug 1, 1998",0.578,0.537,0.32,0.536,0.58,0.649,0.743,0.571,0.36,0.593,0.584,0.665,0.477
"Aug 1, 1999",0.599,0.488,0.352,0.468,0.551,0.654,0.693,0.534,0.33,0.579,0.538,0.632,0.504
"Aug 1, 2000",0.586,0.467,0.323,0.466,0.512,0.654,0.619,0.485,0.329,0.59,0.53,0.643,0.48
"Aug 1, 2001",0.579,0.482,0.356,0.477,0.54,0.684,0.68,0.505,0.316,0.609,0.524,0.682,0.553
"Aug 1, 2002",0.612,0.527,0.378,0.492,0.57,0.641,0.665,0.474,0.344,0.598,0.527,0.68,0.545
"Aug 1, 2003",0.629,0.519,0.344,0.509,0.564,0.661,0.719,0.485,0.342,0.607,0.574,0.672,0.549
"Aug 1, 2004",0.621,0.544,0.357,0.53,0.568,0.618,0.709,0.531,0.38,0.663,0.575,0.666,0.566
"Aug 1, 2005",0.558,0.487,0.313,0.483,0.503,0.619,0.642,0.499,0.314,0.582,0.539,0.627,0.482
"Aug 1, 2006",0.439,0.528,0.39,0.456,0.515,0.632,0.631,0.515,0.379,0.617,0.493,0.625,0.509
"Aug 1, 2007",0.467,0.527,0.363,0.466,0.544,0.616,0.647,0.531,0.342,0.557,0.513,0.657,0.551
"Aug 1, 2008",0.57,0.58,0.385,0.453,0.526,0.631,0.696,0.524,0.344,0.528,0.509,0.64,0.522
"Aug 1, 2009",0.539,0.58,0.421,0.484,0.521,0.638,0.624,0.518,0.394,0.594,0.535,0.627,0.562
"Aug 1, 2010",0.585,0.579,0.431,0.489,0.526,0.614,0.707,0.54,0.395,0.613,0.538,0.659,0.616
"Aug 1, 2011",0.607,0.626,0.388,0.572,0.549,0.623,0.697,0.609,0.423,0.663,0.601,0.651,0.584
"Aug 1, 2012",0.629,0.546,0.364,0.528,0.568,0.647,0.719,0.519,0.354,0.623,0.566,0.678,0.56
"Aug 1, 2013",0.678,0.622,0.436,0.573,0.626,0.719,0.737,0.54,0.463,0.693,0.598,0.748,0.678
"Aug 1, 2014",0.696,0.643,0.393,0.561,0.623,0.691,0.752,0.546,0.436,0.679,0.61,0.736,0.655
"Aug 1, 2015",0.692,0.644,0.39,0.528,0.594,0.654,0.749,0.524,0.447,0.657,0.602,0.688,0.654
"Aug 1, 2016",0.716,0.652,0.357,0.491,0.612,0.629,0.74,0.481,0.39,0.596,0.557,0.7,0.653
"Aug 1, 2017",0.702,0.654,0.4,0.493,0.597,0.631,0.741,0.468,0.392,0.588,0.523,0.675,0.639
"Aug 1, 2018",0.757,0.684,0.449,0.55,0.626,0.643,0.763,0.556,0.486,0.632,0.589,0.719,0.676
"Aug 1, 2019",0.758,0.658,0.413,0.55,0.6,0.65,0.757,0.573,0.488,0.616,0.598,0.669,0.649
"Aug 1, 2020",0.755,0.644,0.43,0.548,0.639,0.678,0.764,0.572,0.496,0.626,0.603,0.71,0.683
"Aug 1, 2021",0.766,0.671,0.415,0.522,0.644,0.681,0.774,0.569,0.485,0.656,0.563,0.713,0.676
"Aug 1, 2022",0.701,0.607,0.428,0.519,0.647,0.654,0.721,0.578,0.477,0.653,0.587,0.725,0.691
"Aug 1, 2023",0.593,0.577,0.426,0.457,0.57,0.624,0.646,0.57,0.422,0.669,0.513,0.628,0.67
