Year,Original,Fitted
"1,984",496.235,496.235
"1,985",361.191,361.191
"1,986",365.379,366.22
"1,987",324.435,371.249
"1,988",418.517,376.278
"1,989",431.438,381.308
"1,990",412.9,386.337
"1,991",394.788,391.366
"1,992",346.26,396.395
"1,993",344.206,401.424
"1,994",431.413,406.454
"1,995",367.152,411.483
"1,996",397.063,416.512
"1,997",479.715,421.541
"1,998",436.831,426.57
"1,999",410.263,431.6
"2,000",435.703,436.629
"2,001",435.593,441.658
"2,002",477.411,446.687
"2,003",370.215,451.716
"2,004",467.452,456.746
"2,005",407.862,461.775
"2,006",418.09,466.804
"2,007",502.013,471.833
"2,008",474.33,476.862
"2,009",472.41,481.891
"2,010",546.831,486.921
"2,011",487.908,491.95
"2,012",467.992,496.979
"2,013",491.919,502.008
"2,014",473.713,507.037
"2,015",519.214,512.067
"2,016",520.474,517.096
"2,017",483.422,522.125
"2,018",511.473,527.154
"2,019",540.745,532.183
"2,020",560.593,537.213
"2,021",593.533,542.242
