site,spei,index_events,d_duration,d_intensity,d_severity,lowest_spei,month_peak,minyear,maxyear,rangeDate
ASH,spei06,3,4,-1.8143749982118607,7.257499992847443,-2.1774999499320984,12,1970,1971,Nov - Feb
ASH,spei06,5,3,-1.7524999876817067,5.25749996304512,-2.1324999928474426,1,1974,1975,Nov - Jan
ASH,spei06,7,2,-1.6712500005960464,3.342500001192093,-1.8400000035762787,3,1981,1981,Feb - Mar
ASH,spei06,9,5,-1.7584999978542328,8.792499989271164,-2.0349999964237213,6,1983,1983,May - Sep
ASH,spei06,11,3,-1.405000001192093,4.215000003576279,-1.5074999928474426,11,1985,1985,Oct - Dec
ASH,spei06,13,8,-1.833749994635582,14.669999957084656,-2.2299999594688416,4,1994,1995,Dec - Jul
ASH,spei06,15,9,-1.7952777710225847,16.157499939203262,-2.0124999582767487,4,1998,1999,Dec - Aug
ASH,spei06,19,4,-1.65812499076128,6.63249996304512,-1.8700000047683716,9,2005,2005,Jun - Sep
ASH,spei06,21,3,-1.6491666833559673,4.947500050067902,-1.7200000286102295,9,2009,2009,Aug - Oct
ASH,spei06,23,2,-1.393750011920929,2.787500023841858,-1.4775000214576721,6,2012,2012,May - Jun
ASH,spei12,3,2,-1.4200000017881393,2.8400000035762787,-1.4749999940395355,1,1971,1971,Jan - Feb
ASH,spei12,5,8,-1.6215624958276749,12.972499966621399,-1.7150000035762787,10,1983,1983,Apr - Nov
ASH,spei12,7,3,-1.5033333202203114,4.5099999606609344,-1.5525000095367432,1,1985,1986,Nov - Jan
ASH,spei12,9,13,-2.1461538557822886,27.900000125169754,-2.6299999952316284,4,1994,1995,Nov - Nov
ASH,spei12,11,13,-1.854423082791842,24.107500076293945,-2.5,9,1999,2000,Feb - Feb
ASH,spei12,13,10,-1.805999994277954,18.05999994277954,-2.04749995470047,9,2005,2006,May - Feb
ASH,spei12,15,3,-1.3691666722297668,4.1075000166893005,-1.3899999856948853,8,2012,2012,Jun - Aug
BSD,spei06,5,4,-1.8662500157952309,7.4650000631809235,-2.1475000381469727,11,1970,1971,Oct - Jan
BSD,spei06,7,2,-1.580000028014183,3.160000056028366,-1.662500023841858,2,1975,1975,Jan - Feb
BSD,spei06,9,3,-1.4025000035762787,4.207500010728836,-1.520000010728836,2,1975,1976,Dec - Feb
BSD,spei06,11,2,-1.8187499940395355,3.637499988079071,-1.8649999797344208,3,1981,1981,Mar - Apr
BSD,spei06,13,3,-1.8149999976158142,5.444999992847443,-1.9099999964237213,5,1983,1983,May - Jul
BSD,spei06,15,2,-1.405000001192093,2.810000002384186,-1.5125000178813934,8,1994,1994,Jul - Aug
BSD,spei06,17,2,-2.1237499862909317,4.247499972581863,-2.197499990463257,5,1995,1995,Apr - May
BSD,spei06,19,10,-1.6952499985694884,16.952499985694885,-1.9049999415874481,9,1998,1999,Dec - Sep
BSD,spei06,23,3,-1.4250000019868214,4.2750000059604645,-1.5875000059604645,1,2004,2005,Nov - Jan
BSD,spei06,25,6,-1.6916666726271312,10.150000035762787,-1.9300000071525574,10,2005,2005,Jun - Nov
BSD,spei06,31,2,-1.4525000005960464,2.905000001192093,-1.524999976158142,2,2012,2012,Jan - Feb
BSD,spei06,33,2,-1.4125000089406967,2.8250000178813934,-1.425000011920929,6,2012,2012,Jun - Jul
BSD,spei12,3,2,-1.5999999791383743,3.1999999582767487,-1.6874999701976776,1,1971,1971,Jan - Feb
BSD,spei12,5,3,-1.5033333400885265,4.510000020265579,-1.7024999856948853,11,1983,1984,Nov - Jan
BSD,spei12,7,3,-1.4216666718324025,4.265000015497208,-1.4975000023841858,8,1994,1994,Jun - Aug
BSD,spei12,9,7,-1.8314285746642522,12.820000022649765,-2.0049999952316284,2,1995,1995,Jan - Jul
BSD,spei12,11,2,-2.0062499940395355,4.012499988079071,-2.122500002384186,11,1995,1995,Oct - Nov
BSD,spei12,13,13,-1.860384606398069,24.184999883174896,-2.2300000190734863,9,1999,2000,Apr - Apr
BSD,spei12,15,12,-1.90229166050752,22.82749992609024,-2.099999964237213,12,2005,2006,May - Apr
BSD,spei12,19,4,-1.7356250137090683,6.942500054836273,-1.8275000452995298,8,2012,2012,May - Aug
NSD,spei06,3,2,-1.4849999845027924,2.9699999690055847,-1.5824999809265137,11,1968,1968,Oct - Nov
NSD,spei06,5,2,-1.8112499862909317,3.6224999725818634,-1.9949999749660492,11,1970,1970,Oct - Nov
NSD,spei06,7,2,-1.563749998807907,3.127499997615814,-1.7550000250339508,1,1974,1975,Dec - Jan
NSD,spei06,11,3,-1.487499992052714,4.462499976158142,-1.7374999821186066,3,1981,1981,Feb - Apr
NSD,spei06,13,5,-1.7509999871253967,8.754999935626984,-2.009999990463257,6,1983,1983,May - Sep
NSD,spei06,15,2,-1.385000005364418,2.770000010728836,-1.4600000083446503,11,1985,1985,Nov - Dec
NSD,spei06,17,2,-1.4750000089406967,2.9500000178813934,-1.5,8,1994,1994,Jul - Aug
NSD,spei06,19,6,-1.8833333253860474,11.299999952316284,-2.2824999690055847,5,1995,1995,Jan - Jun
NSD,spei06,21,9,-1.7525000009271834,15.77250000834465,-1.9275000095367432,4,1998,1999,Dec - Aug
NSD,spei06,23,10,-1.5662500143051148,15.662500143051147,-1.8900000154972076,9,2005,2005,Jan - Oct
NSD,spei06,25,3,-1.4241666595141094,4.272499978542328,-1.467500001192093,9,2009,2009,Aug - Oct
NSD,spei06,27,3,-1.6083333492279053,4.825000047683716,-1.7150000035762787,6,2012,2012,May - Jul
NSD,spei12,5,3,-1.478333334128062,4.435000002384186,-1.6274999976158142,11,1983,1983,Sep - Nov
NSD,spei12,7,3,-1.5158333281675975,4.547499984502792,-1.550000011920929,1,1985,1986,Nov - Jan
NSD,spei12,9,17,-1.9072058779351853,32.42249992489815,-2.5575000047683716,4,1994,1995,Jul - Nov
NSD,spei12,11,9,-1.9561110900508032,17.60499981045723,-2.3649999499320984,9,1999,1999,Feb - Oct
NSD,spei12,13,3,-1.576666682958603,4.730000048875809,-1.8350000083446503,3,2000,2000,Jan - Mar
NSD,spei12,15,11,-1.9313636259599165,21.244999885559082,-2.3350000381469727,12,2005,2006,May - Mar
NSD,spei12,17,5,-1.723999983072281,8.619999915361404,-1.8099999725818634,8,2012,2012,May - Sep
NSH,spei06,3,2,-1.4487500116229057,2.8975000232458115,-1.5850000083446503,11,1968,1968,Oct - Nov
NSH,spei06,5,2,-1.842500001192093,3.685000002384186,-2.0399999916553497,11,1970,1970,Oct - Nov
NSH,spei06,7,2,-1.5862499922513962,3.1724999845027924,-1.8050000071525574,1,1974,1975,Dec - Jan
NSH,spei06,11,3,-1.5175000031789143,4.552500009536743,-1.782499998807907,3,1981,1981,Feb - Apr
NSH,spei06,13,5,-1.782499998807907,8.912499994039536,-2.0550000369548798,6,1983,1983,May - Sep
NSH,spei06,15,2,-1.3525000214576721,2.7050000429153442,-1.4225000143051147,11,1985,1985,Nov - Dec
NSH,spei06,17,2,-1.4462500214576721,2.8925000429153442,-1.4800000190734863,8,1994,1994,Jul - Aug
NSH,spei06,19,5,-1.9580000042915344,9.790000021457672,-2.3124999403953552,5,1995,1995,Feb - Jun
NSH,spei06,21,9,-1.6852777765856848,15.167499989271164,-1.8749999701976776,4,1998,1999,Dec - Aug
NSH,spei06,25,5,-1.702500009536743,8.512500047683716,-1.9024999737739563,9,2005,2005,Jun - Oct
NSH,spei06,27,3,-1.4333333273728688,4.299999982118607,-1.479999989271164,9,2009,2009,Aug - Oct
NSH,spei06,29,3,-1.5716666678587596,4.715000003576279,-1.6775000095367432,6,2012,2012,May - Jul
NSH,spei12,5,4,-1.4849999994039536,5.939999997615814,-1.6949999928474426,11,1983,1983,Aug - Nov
NSH,spei12,7,2,-1.3224999904632568,2.6449999809265137,-1.3375000059604645,8,1985,1985,Jul - Aug
NSH,spei12,9,3,-1.5441666543483734,4.63249996304512,-1.5924999713897705,1,1985,1986,Nov - Jan
NSH,spei12,11,2,-1.3812500089406967,2.7625000178813934,-1.3925000131130219,8,1994,1994,Jul - Aug
NSH,spei12,13,13,-2.0109615417627187,26.142500042915344,-2.5475000143051147,4,1994,1995,Nov - Nov
NSH,spei12,15,6,-2.0395833452542624,12.237500071525574,-2.314999997615814,9,1999,1999,Apr - Sep
NSH,spei12,17,3,-1.545000006755193,4.635000020265579,-1.8675000071525574,3,2000,2000,Jan - Mar
NSH,spei12,19,11,-1.9224999872120945,21.14749985933304,-2.3350000381469727,12,2005,2006,May - Mar
NSH,spei12,21,5,-1.744000005722046,8.72000002861023,-1.8375000357627869,8,2012,2012,May - Sep
